SMK;item;LDa;LEn;DDa;DEn;LEnPlural;Item URL;Commons category (Object related);Commons category (Artist related);Commons category;Comment
Halvfigur;Q18809572;;half-length portrait;;"format of portrait, showing the body from the waist up";half-length portraits;https://wikidata.org/wiki/Q18809572;;;;
Happening;Q108874;Happening;happening;;type of performance artwork;happenings;https://wikidata.org/wiki/Q108874;;;;
Helio- og fotogravure;Q23641696;;heliogravure print;;print produced with heliogravure technique;heliogravure prints;https://wikidata.org/wiki/Q23641696;;;;
Herme;Q376693;herma;herma;"fritstående støtte, der foroven ender i et hoved";"type of sculpture with a head and often a torso above a plain lower section, often with male genitals";hermas;https://wikidata.org/wiki/Q376693;Sculptures in Statens Museum for Kunst;Sculptures by xxxx (name) in Statens Museum for Kunst;;
Højtryk;Q99890706;;relief print;;print made using a process of relief printing;relief prints;https://wikidata.org/wiki/Q99890706;Prints in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
Hoved;Q23640;hoved;head;;del af en organisme anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing;heads;https://wikidata.org/wiki/Q23640;Heads in Statens Museum for Kunst;Sculptures by xxxx (name) in Statens Museum for Kunst;;
Ikon;Q132137;ikon;icon;religiøs kunst i det østlige kristendom;"religious work of art, generally a panel painting, in Eastern Christianity";icons;https://wikidata.org/wiki/Q132137;Religious art in Statens Museum for Kunst;Icons by xxxx (name) in Statens Museum for Kunst;;
Installation;Q20437094;kunstinstallation;installation artwork;;"three-dimensional work of art, usually from various materials and larger than a sculpture. For the art genre, use Q212431.";installation artworks;https://wikidata.org/wiki/Q20437094;;;;
Kamé;Q28512;Kamé;cameo;"smykkesten med dekoration udført i ophøjet relief til forskel fra intaglio, der har fordybet relief";small relief carving;cameos;https://wikidata.org/wiki/Q28512;Carvings in Statens Museum for Kunst;Cameos by xxxx (name) in Statens Museum for Kunst;;
Kapitæl;Q193893;kapitæl;capital;del af søjle;upper part of a column (architecture);capitals;https://wikidata.org/wiki/Q193893;Architecture in Statens Museum for Kunst;Capitals by xxxx (name) in Statens Museum for Kunst;;
Keramik;Q13464614;;ceramics;;"art objects such as figures, tiles, and tableware made from clay and other raw materials by the process of pottery";ceramics;https://wikidata.org/wiki/Q13464614;Ceramics in Statens Museum for Kunst;Ceramics by xxxx (name) in Statens Museum for Kunst;;
Klichétryk;Q291202;Kliche (tryk);stereotype;;solid plate resulting from the application of a stereotyping technique;stereotypes;https://wikidata.org/wiki/Q291202;;;;
Kobberstik;Q18887969;kopperstik;copper engraving print;;print from an engraving on copper intended as art or illustrations in books;copper engraving prints;https://wikidata.org/wiki/Q18887969;Engravings in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
Konsol;Q12537;Konsol;corbel;;piece of masonry jutting out of a wall to carry any superincumbent weight;corbels;https://wikidata.org/wiki/Q12537;Corbels in Statens Museum for Kunst;Corbels by xxxx (name) in Statens Museum for Kunst;;
Kore;Q921657;;kore;;ancient Greek statue of a woman of the Archaic period;kores;https://wikidata.org/wiki/Q921657;Statues in Statens Museum for Kunst;Kores by xxxx (name) in Statens Museum for Kunst;;
Kouros;Q937330;;kouros;;free-standing ancient Greek sculpture depicting a young man;kouros;https://wikidata.org/wiki/Q937330;Sculptures in Statens Museum for Kunst;Kouros by xxxx (name) in Statens Museum for Kunst;;
Kridt;Q147690;skrivekridt;chalk stick;;writing implement;chalk sticks;https://wikidata.org/wiki/Q147690;;;;
Krucifiks;Q20460;krucifiks;crucifix;kors med fremstilling af Kristus som korsfæstet;cross with an image or artwork of Jesus on it;crucifixes;https://wikidata.org/wiki/Q20460;Christian art in Statens Museum for Kunst;Crucifixes by xxxx (name) in Statens Museum for Kunst;;;
Kul;Q1424515;tegnekul;charcoal;;form of dry art medium;charcoals;https://wikidata.org/wiki/Q1424515;;;;
Kunsthåndværk;Q877729;kunsthåndværk;handicraft;;work where useful and decorative objects are made completely by hand or by using only simple tools;handicrafts;https://wikidata.org/wiki/Q877729;;;;
Kunstnerbøger;Q1062404;Artists' books;artist's book;;work of art realized in the form of a book;artist's books;https://wikidata.org/wiki/Q1062404;;;;
Linoleumssnit;Q22060043;;Linocut print;;artwork produced via linocut process;Linocut prints;https://wikidata.org/wiki/Q22060043;Linocuts in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
Litografi;Q15123870;litografi;lithograph;trykt billede fremstillet ved en litografisk proces;printed image produced by lithography;lithographs;https://wikidata.org/wiki/Q15123870;Lithographs in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
Lydinstallation;Q2633362;lydinstallation;sound installation;kunstinstallation;art installation that incorporate sound into physical environments;sound installations;https://wikidata.org/wiki/Q2633362;;;;
Lydkunst;Q1744327;lydkunst;sound art;;art discipline that uses sound as a medium;sound artworks;https://wikidata.org/wiki/Q1744327;;;;
Lystryk;Q106452651;lystryk;collotype print;;;collotype prints;https://wikidata.org/wiki/Q106452651;Collotype prints in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
Maleri;Q3305213;maleri;painting;"visuelt kunstværk, overflade kunstnerisk dækket med maling";"visual artwork, surface artistically covered with paint";paintings;https://wikidata.org/wiki/Q3305213;Paintings in Statens Museum for Kunst;Paintings by xxxx (name) in Statens Museum for Kunst;Paintings;
Maske;Q161524;maske;mask;;"any full or partial face covering, whether ceremonial, protective, decorative, or used as disguise";masks;https://wikidata.org/wiki/Q161524;Clothing in Statens Museum for Kunst;Masks by xxxx (name) in Statens Museum for Kunst;;
Medalje;Q131647;medalje;medal;mønt-lignende artefakter;"round piece of metal, often used as an award";medals;https://wikidata.org/wiki/Q131647;Medals in Statens Museum for Kunst;Medals by xxxx (name) in Statens Museum for Kunst;;
Medaljon;Q1402709;Medaljon;locket;Medaljon (smykke);type of pendant jewellery that can contain an item;lockets;https://wikidata.org/wiki/Q1402709;Lockets in Statens Museum for Kunst;Lockets by xxxx (name) in Statens Museum for Kunst;;
Metalsnit;Q11835431;gravering;engraving;fremstillede mønster gennem gravering;artwork produced via engraving process;engravings;https://wikidata.org/wiki/Q11835431;Engravings in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
Mezzotinte;Q21647744;;mezzotint print;;print created with the mezzotint technique and process;mezzotint prints;https://wikidata.org/wiki/Q21647744;Mezzotints in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
Miniature;Q282129;miniatur;portrait miniature;;very small painting;portrait miniatures;https://www.wikidata.org/wiki/Q282129;Portrait miniatures in Statens Museum for Kunst;Paintings by xxxx (name) in Statens Museum for Kunst;;
Mixed Media;Q1902763;;mixed media;;artistic technique that uses more than one medium;mixed media;https://wikidata.org/wiki/Q1902763;;;;
Mobile;Q784445;Uro;mobile;ornament;type of kinetic sculpture;mobiles;https://wikidata.org/wiki/Q784445;;;;
Monotypi;Q22669635;;monotype print;;print produced via monotyping process;monotype prints;https://wikidata.org/wiki/Q22669635;Monytype prints in Statens Museum for Kunst;Prints by xxxx (name) in the Statens;;
Monument;Q4989906;monument;monument;offentlig struktur med det formål at minde folk eller historiske begivenheder;"imposing structure created to commemorate a person or event, or used for that purpose";monuments;https://wikidata.org/wiki/Q4989906;;;;
Objekt;Q223557;legeme;physical object;"fysisk objekt, masseansamling";"singular aggregation of substance(s) such as matter or radiation, with overall properties such as mass, position or momentum";physical objects;https://wikidata.org/wiki/Q223557;;;;
Offset;Q22004031;;offset print;;print produced by offset printing  technique;offset prints;https://wikidata.org/wiki/Q22004031;Lithographs in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
Offsettryk;Q22004031;;offset print;;print produced by offset printing technique;offset prints;https://wikidata.org/wiki/Q22004031;;;;
Oliekridt;Q99826317;;crayon;;drawing material made in stick form;crayons;https://wikidata.org/wiki/Q99826317;;;;
Papirklip;Q5137101;;cut-paper work;;artwork produced by paper cutting;cut-paper works;https://wikidata.org/wiki/Q5137101;;;;
Pastel;Q12043905;pastelmaleri;pastel;kunstværk udført i pasteller;artwork made using pastels;pastels;https://wikidata.org/wiki/Q12043905;Pastel paintings in Statens Museum for Kunst;Paintings by xxxx (name) in Statens Museum for Kunst;;
Pastelkridt;Q69158;pastelkridt;wax crayon;;drawing implement;wax crayons;https://wikidata.org/wiki/Q69158;;;;
Pen;Q19898787;;pen drawing;;"drawings using pen as the primary implement, usually on paper but may be on another support";pen drawings;https://wikidata.org/wiki/Q19898787;Pen and ink drawings in Statens Museum for Kunst;Drawings by xxxx (name) in Statens Museum for Kunst;;
Pensel;Q1551725;penseltegning;brush drawing;;;brush drawings;https://www.wikidata.org/wiki/Q1551725;;;;
Performance;Q22672348;;performance artwork;;artwork that is part of performance art (not to be confused with performing arts);performance artworks;https://wikidata.org/wiki/Q22672348;;;;
