inventarnummer;wikidata_id
KMS1145;Q20268701
KMS1146;Q20355253
KMS1147;Q20477366
KMS1148;Q20388984
KMS1149;Q20354858
KMS1150;Q20537122
KMS1153;Q20539792
KMS1154;Q20530946
KMS1167;Q20553532
KMS1168;Q20272734
KMS1170;Q20537861
KMS1171;Q20268493
KMS1172;Q20355653
KMS1175;Q20268010
KMS1177;Q20275995
KMS1178;Q20492843
KMS1181;Q20470077
KMS1182;Q20440375
KMS1183;Q20268854
KMS1190;Q20381384
KMS1191;Q20267236
KMS1192;Q20355414
KMS12;Q20354579
KMS120;Q20437114
KMS1201;Q20355012
KMS1202;Q20492325
KMS1203;Q20276761
KMS1204;Q20474375
KMS1205;Q20424511
KMS1206;Q20540175
KMS1207;Q20272616
KMS1208;Q20354402
KMS1209;Q20355368
KMS1210;Q20550192
KMS1211;Q20270973
KMS1212;Q20355360
KMS1214;Q20550058
KMS1215;Q20355175
KMS1216;Q20390445
KMS1217;Q20540283
KMS1218;Q20546289
KMS1219;Q20355694
KMS122;Q20428105
KMS1220;Q20355222
KMS1221;Q20539258
KMS1222;Q20475412
KMS1223;Q20440422
KMS1224;Q20379511
KMS1225;Q20433120
KMS1226;Q20440555
KMS1227;Q20491203
KMS1228;Q20355443
KMS1229;Q20355384
KMS123;Q20392048
KMS1230;Q20355396
KMS1231;Q20425907
KMS1232;Q20440313
KMS1233;Q20354558
KMS1234;Q20278389
KMS1235;Q20354990
KMS1236;Q20387855
KMS1237;Q20494609
KMS1239;Q20354828
KMS1240;Q20492184
KMS1241;Q20354137
KMS1242a;Q20539984
KMS1242b;Q20278611
KMS1242c;Q20496608
KMS1242d;Q20535632
KMS1242e;Q20545754
KMS1242f;Q20273031
KMS1242g;Q20402901
KMS1242h;Q20272700
KMS1242i;Q20537373
KMS1243;Q20355496
KMS1244;Q20540128
KMS1245;Q20268609
KMS1246;Q20539328
KMS1247;Q20501061
KMS1248;Q20268718
KMS1249;Q20269186
KMS125;Q20354726
KMS1250;Q20267676
KMS1251;Q20355276
KMS1252;Q20354193
KMS1253;Q20278262
KMS1254;Q20380315
KMS1255;Q20380390
KMS1256;Q20402224
KMS1257;Q20274716
KMS1258;Q20355548
KMS1259;Q20440853
KMS1260;Q20422158
KMS1261;Q20426881
KMS1262;Q20422154
KMS1263;Q20355018
KMS1264;Q20392173
KMS1265;Q20540241
KMS1266;Q20387230
KMS1267;Q20355563
KMS1268;Q20431529
KMS1269;Q20422105
KMS1270;Q20267757
KMS1271;Q20387441
KMS1272;Q20354308
KMS1273;Q20355809
KMS1274;Q20267609
KMS1275;Q20440611
KMS1276;Q20440327
KMS1277a;Q20354784
KMS1277b;Q20491227
KMS1278;Q20278571
KMS1279;Q20267424
KMS1280;Q20268532
KMS1281;Q20355822
KMS1282;Q48454378
KMS1283;Q48449667
KMS1284;Q20268178
KMS1285;Q20355136
KMS1286;Q20354515
KMS1287;Q20355675
KMS1288;Q20272253
KMS1289;Q20440757
KMS1290;Q20354576
KMS1291;Q20267643
KMS1292;Q20354584
KMS1293;Q20434303
KMS1294;Q20440205
KMS1295;Q20470232
KMS1296;Q20469780
KMS1297;Q20494732
KMS1298;Q20268268
KMS13;Q20355649
KMS1300;Q20440880
KMS1301;Q20441201
KMS1302;Q20536617
KMS1303;Q20428402
KMS1304;Q20539814
KMS1305;Q20355591
KMS1305;Q20355591
KMS1306;Q20268546
KMS1307;Q20387935
KMS1308;Q20381006
KMS1309;Q20355206
KMS1310;Q20278319
KMS1310a;Q20354780
KMS1311;Q20354100
KMS1311a;Q20270050
KMS1312;Q20539746
KMS1315;Q20354339
KMS1316;Q20538558
KMS1318;Q20440868
KMS1319;Q20491398
KMS1320;Q20354294
KMS1322;Q20355577
KMS1324;Q20440864
KMS1326;Q20268619
KMS1329;Q20422389
KMS133;Q20354662
KMS1330;Q20491997
KMS1331;Q20271011
KMS1332;Q20458605
KMS1333;Q20267721
KMS1334;Q20440777
KMS1335;Q20268569
KMS1336;Q20354447
KMS1338;Q20354789
KMS1339;Q20355748
KMS1340;Q20468497
KMS1341;Q20440905
KMS1342;Q20355393
KMS1343;Q20540379
KMS1345;Q20440869
KMS1346;Q20354770
KMS1347;Q20267979
KMS1348;Q20268310
KMS1349;Q20268075
KMS135;Q20268155
KMS1350;Q20354880
KMS1351;Q20403182
KMS1352;Q20499957
KMS1353;Q20380142
KMS1354;Q20496948
KMS1356;Q20392261
KMS1359;Q20389281
KMS136;Q20440620
KMS1360;Q20354951
KMS1361;Q20440981
KMS1363;Q20355134
KMS1364;Q20355174
KMS1366;Q20491392
KMS1367;Q20538434
KMS1368;Q20539732
KMS1369;Q20354864
KMS137;Q20440573
KMS1370;Q48450797
KMS1371;Q20538163
KMS1372;Q20441021
KMS1374;Q20392148
KMS1376;Q20380280
KMS1377;Q20483562
KMS1378;Q20268688
KMS1379;Q20422071
KMS138;Q20388307
KMS1380;Q20538775
KMS1381;Q20274536
KMS1382;Q20536589
KMS1383;Q20269847
KMS1384;Q19973906
KMS1385;Q20267206
KMS1386;Q20268744
KMS1387;Q20274315
KMS1388;Q20355513
KMS1389;Q20354425
KMS139;Q20539742
KMS1390;Q20354708
KMS1391;Q20355692
KMS1392;Q20479929
KMS1393;Q20355166
KMS1394;Q20355017
KMS1395;Q20387665
KMS1396;Q20491255
KMS1397;Q20267867
KMS1398;Q20441228
KMS1399;Q20379362
KMS13a;Q20275235
KMS14;Q20380499
KMS1400;Q20355343
KMS1401;Q20354465
KMS1402;Q20538515
KMS1403;Q20538269
KMS1404;Q20268551
KMS1405;Q20276609
KMS1406;Q20491494
KMS1407;Q20355446
KMS1408;Q20268396
KMS1409;Q20268312
KMS1410;Q20380253
KMS1411;Q20538859
KMS1413;Q20441208
KMS1414;Q20392036
KMS1415;Q20440744
KMS1416;Q20551629
KMS1417;Q20539199
KMS1418;Q20355636
KMS1419;Q20274997
KMS1420;Q20354993
KMS1421;Q20277073
KMS1422;Q20354899
KMS1423;Q20438502
KMS1424;Q20355068
KMS1425;Q20355160
KMS1426;Q20354835
KMS1427;Q20539263
KMS1428;Q20278584
KMS1429;Q20540677
KMS1431;Q20354890
KMS1432;Q20354451
