inventorynumber;wikidataitem;creator;title;image;url;height;width;mime
KMS7089;Q20380425;[[wikidata:Q12329984]];Flower Boy;;https://collection.smk.dk/#/en/detail/KMS7089;;;
KMSst432;Q20354602;None;Kvindeportræt;;https://collection.smk.dk/#/en/detail/KMSst432;;;
KMS7186;Q20354748;[[wikidata:Q13422433]];Kvindeportræt. London;https://commons.wikimedia.org/wiki/Special:FilePath/P.A. Schou - Kvindeportræt. London - KMS7186 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS7186;768;665;image/jpeg
KMS4098;Q20385320;[[wikidata:Q5577160]];People outside a Church. Harboøre, Jutland;;https://collection.smk.dk/#/en/detail/KMS4098;;;
KMS3880;Q20440438;[[wikidata:Q319854]];Jurisprudence. Allegorical Figure;https://commons.wikimedia.org/wiki/Special:FilePath/Nicolai Abildgaard - Jurisprudence. Allegorical Figure - KMS3880 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS3880;4575;3537;image/jpeg
KMS4502;Q20483941;None;Landscape with Ruins;https://commons.wikimedia.org/wiki/Special:FilePath/KMS 4502 Ubekendt - Landscape with Ruins - KMS4502 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS4502;410;768;image/jpeg
KMSst30;Q20382946;[[wikidata:Q19288387]];Mountainous Coast with Fishing Boats and Fishermen on the Beach;https://commons.wikimedia.org/wiki/Special:FilePath/Lucas Smout d.Y. - Mountainous Coast with Fishing Boats and Fishermen on the Beach - KMSst30 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSst30;549;768;image/jpeg
KMSst183;Q20355204;[[wikidata:Q830611]];Flower Bowl;https://commons.wikimedia.org/wiki/Special:FilePath/Franz Werner Tamm - Flower Bowl - KMSst183 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSst183;777;1000;image/jpeg
KMS4943;Q20540759;[[wikidata:Q4942108]];Musicians;;https://collection.smk.dk/#/en/detail/KMS4943;;;
KKSgb2947/55;Q28797881;[[wikidata:Q17123520]];Tulipa gesneriana;https://commons.wikimedia.org/wiki/Special:FilePath/Johannes Simon Holtzbecher - Tulipa gesneriana - Google Art Project (432490).jpg;https://collection.smk.dk/#/en/detail/KMS4943;7627;5782;image/jpeg
KMS445;Q20539739;[[wikidata:Q381458]];A Rocky Coast, Capri. Soon after Sunrise;https://commons.wikimedia.org/wiki/Special:FilePath/Christen Købke - A Rocky Coast, Capri. Soon after Sunrise - KMS445 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS445;395;592;image/jpeg
