inventorynumber;wikidataitem;creator;title;image;url;height;width;mime
KMS7116;Q20354944;[[wikidata:Q479806]];A Family Group on a Terrace in the Grounds of a Villa. Possibly the English Businessman George Jackson and his Family;https://commons.wikimedia.org/wiki/Special:FilePath/Marcus Tuscher - A Family Group on a Terrace in the Grounds of a Villa. Possibly the English Businessman George Jackson and his Family - KMS7116 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS7116;1468;2362;image/jpeg
KMS7908;Q20354085;[[wikidata:Q392816]];Til Carlo Crivelli;;https://collection.smk.dk/#/en/detail/KMS7908;;;
KMS4224;Q20355215;[[wikidata:Q2199553]];A landscape near Bryrup, Jutland;https://commons.wikimedia.org/wiki/Special:FilePath/Landskab fra Bryrupegnen.jpg;https://collection.smk.dk/#/en/detail/KMS4224;5180;7468;image/jpeg
KMS4947;Q20482031;[[wikidata:Q336908]];A Pool on the Fringe of a Wood;https://commons.wikimedia.org/wiki/Special:FilePath/Meindert Hobbema - A Pool on the Fringe of a Wood - KMS4947 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS4947;544;768;image/jpeg
KMS2042;Q20532915;[[wikidata:Q138156]];The Artist's Son Holger at the Age of Ten;https://commons.wikimedia.org/wiki/Special:FilePath/Jørgen Roed - The Artist's Son Holger at the Age of Ten - KMS2042 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS2042;768;552;image/jpeg
KMS122;Q20428105;[[wikidata:Q12301574]];Moses slår vand af klippen;;https://collection.smk.dk/#/en/detail/KMS122;;;
KMS6818;Q20532690;[[wikidata:Q12321390]];Seilf-Portrait;;https://collection.smk.dk/#/en/detail/KMS6818;;;
KMS883;Q20536349;[[wikidata:Q1449653]];Portrait of the Emperor Joseph II of Austria;https://commons.wikimedia.org/wiki/Special:FilePath/Franz Karl Palko - Portrait of the Emperor Joseph II of Austria - KMS883 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS883;768;464;image/jpeg
KMS4392;Q20440989;[[wikidata:Q5341386]];A Forest Road;https://commons.wikimedia.org/wiki/Special:FilePath/Vej gennem skov.jpg;https://collection.smk.dk/#/en/detail/KMS4392;3195;3421;image/jpeg
KMS3708;Q20421611;[[wikidata:Q365068]];Kompositionsskitse til "Et Møde i Videnskabernes Selskab" i Videnskabernes Selskab;https://commons.wikimedia.org/wiki/Special:FilePath/P.S. Krøyer, skitse til Et Møde i Videnskabernes Selskab, 1896 ,KMS3708, Statens Museum for Kunst.tif;https://collection.smk.dk/#/en/detail/KMS3708;2274;3897;image/tiff
KMSst13D;Q20268773;[[wikidata:Q2424830]];Ludovica Amalia, Princeps Borussiæ;;https://collection.smk.dk/#/en/detail/KMSst13D;;;
KMSsp462;Q20468914;[[wikidata:Q1357477]];Jacob Burying the Pagan Idols;https://commons.wikimedia.org/wiki/Special:FilePath/Jan Victors - Jacob Burying the Pagan Idols - KMSsp462 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp462;461;496;image/jpeg
KMS3503;Q20436136;[[wikidata:Q166379]];Landscape;https://commons.wikimedia.org/wiki/Special:FilePath/Philips Koninck - Landscape - KMS3503 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS3503;1200;1588;image/jpeg
DEP597;Q20530122;[[wikidata:Q83578]];Midsummer Night's Dream;;https://collection.smk.dk/#/en/detail/DEP597;;;
KMS3243;Q20273486;[[wikidata:Q12321390]];Ved Canal Grande i Venedig;;https://collection.smk.dk/#/en/detail/KMS3243;;;
KMSsp872;Q20539934;[[wikidata:Q581361]];Hyænen i menageriet ved Frederiksberg Slot;https://commons.wikimedia.org/wiki/Special:FilePath/Jens Juel - Hyænen i menageriet ved Frederiksberg Slot (1767).jpg;https://collection.smk.dk/#/en/detail/KMSsp872;647;1000;image/jpeg
KMS6220;Q20268168;[[wikidata:Q581361]];A View Across Lake Leman Towards Mont Blanc and Geneva;https://commons.wikimedia.org/wiki/Special:FilePath/Jens Juel - A View Across Lake Leman Towards Mont Blanc and Geneva - KMS6220 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS6220;468;565;image/jpeg
KMS518;Q20540371;[[wikidata:Q20879695]];Kovangen ved Fredensborg;;https://collection.smk.dk/#/en/detail/KMS518;;;
KMS3363;Q20492817;[[wikidata:Q164735]];The Gulf of Naples. Moonlight;https://commons.wikimedia.org/wiki/Special:FilePath/Johan Christian Clausen Dahl - Ved den napolitanske golf. Måneskin - Statens Museum for Kunst - KMS3363.jpeg;https://collection.smk.dk/#/en/detail/KMS3363;493;800;image/jpeg
KMS3316;Q20440911;[[wikidata:Q380706]];The Composer Fini Henriques;https://commons.wikimedia.org/wiki/Special:FilePath/Vilhelm Hammershøi - The Composer Fini Henriques - KMS3316 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS3316;768;565;image/jpeg
KMS8497;Q20278295;[[wikidata:Q966116]];The Waverer;;https://collection.smk.dk/#/en/detail/KMS8497;;;
KMS4564;Q20355535;[[wikidata:Q4954471]];Camel Rider in the Desert;;https://collection.smk.dk/#/en/detail/KMS4564;;;
KMS876;Q20267530;[[wikidata:Q21055]];Maria Magdalena Jensen, née Jessen, the Artist's Mother;https://commons.wikimedia.org/wiki/Special:FilePath/C.A. Jensen - Maria Magdalena Jensen, née Jessen, the Artist's Mother - KMS876 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS876;768;664;image/jpeg
DEP355;Q20380416;[[wikidata:Q924459]];Maria Magdalena Jensen, née Jessen, the Artist's Mother;;https://collection.smk.dk/#/en/detail/DEP355;;;
KMS3721;Q20501033;[[wikidata:Q12310505]];Stor blomsterbuket i en vase. I forgrunden frugter;https://commons.wikimedia.org/wiki/Special:FilePath/E.H. Løffler - Stor blomsterbuket i en vase. I forgrunden frugter - KMS3721 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS3721;768;635;image/jpeg
KMS3882;Q20497249;[[wikidata:Q6179840]];The Town Hall Square. Copenhagen;;https://collection.smk.dk/#/en/detail/KMS3882;;;
KMS1624;Q20433776;[[wikidata:Q363823]];Pont Royal seen from Quai Voltaire;https://commons.wikimedia.org/wiki/Special:FilePath/Eckersberg, CW - Udsigt ved Pont Royal fra Quai Voltaire i Paris - 1812.jpg;https://collection.smk.dk/#/en/detail/KMS1624;929;1200;image/jpeg
KMS7066;Q20539433;[[wikidata:Q2559361]];The Death of Socrates;https://commons.wikimedia.org/wiki/Special:FilePath/Jean Francois Pierre Peyron - The Death of Socrates - Google Art Project.jpg;https://www.wga.hu/html/p/peyron/socrates.html;3793;5177;image/jpeg
KMS756;Q20267790;[[wikidata:Q1803038]];Bruden smykkes af sin veninde;https://commons.wikimedia.org/wiki/Special:FilePath/Bruden smykkes af sin veninde (Henrik Olrik).jpg;https://collection.smk.dk/#/en/detail/KMS756;3588;3005;image/jpeg
KMS1850;Q20440748;[[wikidata:Q3180450]];Ane Marie Rohde, f. Schmidt, kunstnerens moder;;https://collection.smk.dk/#/en/detail/KMS1850;;;
KMS2098;Q20278560;[[wikidata:Q581361]];The Ryberg Family;https://commons.wikimedia.org/wiki/Special:FilePath/Jens Juel - The Ryberg Family.jpg;https://collection.smk.dk/#/en/detail/KMS2098;620;800;image/jpeg
KMSsp182;Q20276576;[[wikidata:Q3903515]];Village in the Hills;https://commons.wikimedia.org/wiki/Special:FilePath/Pieter Schoubroeck - Village in the Hills - KMSsp182 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp182;520;768;image/jpeg
KMSsp607;Q20355471;[[wikidata:Q1892381]];The Sea in Motion;https://commons.wikimedia.org/wiki/Special:FilePath/Aernout Smit - The Sea in Motion - KMSsp607 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp607;599;768;image/jpeg
KMSsp226;Q20275925;[[wikidata:Q209050]];Callisto in Diana's Bath;https://commons.wikimedia.org/wiki/Special:FilePath/Jan Brueghel d.Æ. - Callisto in Diana's Bath - KMSsp226 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp226;534;768;image/jpeg
