?item	?itemLabel	?kid	?commons_skab	?commonscat	?article
<http://www.wikidata.org/entity/Q711770>	"Dirck van Delen"@da	"1503"	"Dirck van Delen"	"Dirck van Delen"	<https://commons.wikimedia.org/wiki/Category:Dirck_van_Delen>
<http://www.wikidata.org/entity/Q712455>	"Jean Jouvenet"@da	"673"	"Jean-Baptiste Jouvenet"	"Jean-Baptiste Jouvenet"	<https://commons.wikimedia.org/wiki/Category:Jean-Baptiste_Jouvenet>
<http://www.wikidata.org/entity/Q715909>	"Louis-Léopold Boilly"@da	"1376"	"Louis-Léopold Boilly"	"Louis-Léopold Boilly"	<https://commons.wikimedia.org/wiki/Category:Louis-L%C3%A9opold_Boilly>
<http://www.wikidata.org/entity/Q718327>	"Ernst Meyer"@da	"438"	"Ernst Meyer"	"Ernst Meyer (painter)"	<https://commons.wikimedia.org/wiki/Category:Ernst_Meyer_(painter)>
<http://www.wikidata.org/entity/Q432266>	"Willem van de Velde den yngre"@da	"1901"	"Willem van de Velde (II)"	"Willem van de Velde (II)"	<https://commons.wikimedia.org/wiki/Category:Willem_van_de_Velde_(II)>
<http://www.wikidata.org/entity/Q433804>	"Pieter Jansz. Saenredam"@da	"1793"	"Pieter Saenredam"	"Pieter Jansz. Saenredam"	<https://commons.wikimedia.org/wiki/Pieter_Jansz._Saenredam>
<http://www.wikidata.org/entity/Q436797>	"Samuel van Hoogstraten"@da	"658"	"Samuel van Hoogstraten"	"Samuel van Hoogstraten"	<https://commons.wikimedia.org/wiki/Category:Samuel_van_Hoogstraten>
<http://www.wikidata.org/entity/Q436844>	"Armand Guillaumin"@da	"1287"	"Jean-Baptiste Armand Guillaumin"	"Jean-Baptiste Armand Guillaumin"	<https://commons.wikimedia.org/wiki/Category:Jean-Baptiste_Armand_Guillaumin>
<http://www.wikidata.org/entity/Q454671>	"Philips Wouwerman"@da	"1969"	"Philips Wouwerman"	"Philips Wouwerman"	<https://commons.wikimedia.org/wiki/Category:Philips_Wouwerman>
<http://www.wikidata.org/entity/Q459054>	"Georg Philipp, I Rugendas"@da	"1784"	"Georg Philipp Rugendas"	"Georg Philipp Rugendas"	<https://commons.wikimedia.org/wiki/Category:Georg_Philipp_Rugendas>
<http://www.wikidata.org/entity/Q459665>	"Ambrosius Bosschaert"@da	"1383"	"Ambrosius Bosschaert (I)"	"Ambrosius Bosschaert (I)"	<https://commons.wikimedia.org/wiki/Category:Ambrosius_Bosschaert_(I)>
<http://www.wikidata.org/entity/Q460124>	"Jacques Callot"@da	"1407"	"Jacques Callot"	"Jacques Callot"	<https://commons.wikimedia.org/wiki/Category:Jacques_Callot>
<http://www.wikidata.org/entity/Q461700>	"Alessandro Casolani"@da	"1418"	"Alessandro Casolani"	"Alessandro Casolani"	<https://commons.wikimedia.org/wiki/Category:Alessandro_Casolani>
<http://www.wikidata.org/entity/Q540693>	"Abraham Willaerts"@da	"1963"	"Abraham Willaerts"	"Abraham Willaerts"	<https://commons.wikimedia.org/wiki/Abraham_Willaerts>
<http://www.wikidata.org/entity/Q540753>	"Paul Bril"@da	"1395"	"Paul Bril"	"Paul Bril"	<https://commons.wikimedia.org/wiki/Paul_Bril>
<http://www.wikidata.org/entity/Q541644>	"Joachim Wtewael"@da	"1970"	"Joachim Wtewael"	"Joachim Wtewael"	<https://commons.wikimedia.org/wiki/Category:Joachim_Wtewael>
<http://www.wikidata.org/entity/Q541976>	"Jan Asselijn"@da	"1329"	"Jan Asselijn"	"Jan Asselijn"	<https://commons.wikimedia.org/wiki/Jan_Asselijn>
<http://www.wikidata.org/entity/Q543948>	"Frans Floris"@da	"1557"	"Frans Floris"	"Frans Floris"	<https://commons.wikimedia.org/wiki/Category:Frans_Floris>
<http://www.wikidata.org/entity/Q123757>	"Jean-Étienne Liotard"@da	"735"	"Jean-Étienne Liotard"	"Jean-Étienne Liotard"	<https://commons.wikimedia.org/wiki/Jean-%C3%89tienne_Liotard>
<http://www.wikidata.org/entity/Q123918>	"Johann Caspar Lavater"@da	"715"		"Johann Kaspar Lavater"	<https://commons.wikimedia.org/wiki/Category:Johann_Kaspar_Lavater>
<http://www.wikidata.org/entity/Q270658>	"Jacob Jordaens"@da	"672"	"Jacob Jordaens"	"Jacob Jordaens"	<https://commons.wikimedia.org/wiki/Jacob_Jordaens>
<http://www.wikidata.org/entity/Q273126>	"Anna Dorothea Therbusch"@da	"737"	"Anna Dorothea Therbusch"	"Anna Dorothea Therbusch"	<https://commons.wikimedia.org/wiki/Category:Anna_Dorothea_Therbusch>
<http://www.wikidata.org/entity/Q879031>	"Franz Ludwig Catel"@da	"1422"	"Franz Ludwig Catel"	"Franz Ludwig Catel"	<https://commons.wikimedia.org/wiki/Category:Franz_Ludwig_Catel>
<http://www.wikidata.org/entity/Q879842>	"Bjørn Nørgaard"@da	"337"		"Bjørn Nørgaard"	<https://commons.wikimedia.org/wiki/Category:Bj%C3%B8rn_N%C3%B8rgaard>
<http://www.wikidata.org/entity/Q886448>	"C.D. Fritzsch"@da	"6710"	"Cladius Detlev Fritzsch"	"Cladius Detlev Fritzsch"	<https://commons.wikimedia.org/wiki/Category:Cladius_Detlev_Fritzsch>
<http://www.wikidata.org/entity/Q902649>	"David Klöcker Ehrenstrahl"@da	"7930"	"David Klöcker Ehrenstrahl"	"David Klöcker Ehrenstrahl"	<https://commons.wikimedia.org/wiki/Category:David_Kl%C3%B6cker_Ehrenstrahl>
<http://www.wikidata.org/entity/Q904436>	"Ingálvur av Reyni"@da	"10222"		"Ingálvur av Reyni"	<https://commons.wikimedia.org/wiki/Category:Ing%C3%A1lvur_av_Reyni>
<http://www.wikidata.org/entity/Q921230>	"J.Th. Lundbye"@da	"1014"	"Johan Thomas Lundbye"	"Johan Thomas Lundbye"	<https://commons.wikimedia.org/wiki/Category:Johan_Thomas_Lundbye>
<http://www.wikidata.org/entity/Q924459>	"J.F. Willumsen"@da	"923"		"J.F. Willumsen"	<https://commons.wikimedia.org/wiki/Category:J.F._Willumsen>
<http://www.wikidata.org/entity/Q928466>	"Daniël Seghers"@da	"1818"	"Daniël Seghers"	"Daniël Seghers"	<https://commons.wikimedia.org/wiki/Category:Dani%C3%ABl_Seghers>
<http://www.wikidata.org/entity/Q448285>	"Master of the Female Half-Lengths"@da	"3245"	"Master of the Female Half-Lengths"	"Master of the Female Half-Lengths"	<https://commons.wikimedia.org/wiki/Master_of_the_Female_Half-Lengths>
<http://www.wikidata.org/entity/Q452254>	"Jacques Villon"@da	"1929"	"Jacques Villon"	"Jacques Villon"	<https://commons.wikimedia.org/wiki/Category:Jacques_Villon>
<http://www.wikidata.org/entity/Q452499>	"Meister von Alkmaar"@da	"3242"	"Master of Alkmaar"	"Master of Alkmaar"	<https://commons.wikimedia.org/wiki/Category:Master_of_Alkmaar>
<http://www.wikidata.org/entity/Q454656>	"Jan Davidsz. de Heem"@da	"2491"	"Jan Davidsz. de Heem"	"Jan Davidsz. de Heem"	<https://commons.wikimedia.org/wiki/Category:Jan_Davidsz._de_Heem>
<http://www.wikidata.org/entity/Q724646>	"Jacob Ochtervelt"@da	"1576"	"Jacob Ochtervelt"	"Jacob Ochtervelt"	<https://commons.wikimedia.org/wiki/Category:Jacob_Ochtervelt>
<http://www.wikidata.org/entity/Q728273>	"Marinus van Reymerswaele"@da		"Marinus van Reymerswale"	"Marinus van Reymerswale"	<https://commons.wikimedia.org/wiki/Category:Marinus_van_Reymerswale>
<http://www.wikidata.org/entity/Q728512>	"Benvenuto Tisi da Garofalo"@da	"2059"	"Benvenuto Tisi da Garofalo"	"Benvenuto Tisi da Garofalo"	<https://commons.wikimedia.org/wiki/Category:Benvenuto_Tisi_da_Garofalo>
<http://www.wikidata.org/entity/Q729087>	"Louis de, II Silvestre"@da	"1824"	"Louis de Silvestre"	"Louis de Silvestre"	<https://commons.wikimedia.org/wiki/Louis_de_Silvestre>
<http://www.wikidata.org/entity/Q730008>	"Bruno Liljefors"@da	"1684"	"Bruno Liljefors"	"Bruno Liljefors"	<https://commons.wikimedia.org/wiki/Category:Bruno_Liljefors>
